Hoarding Code,City,(Area/Zone),Location / Landmark,Facing Direction,Size (Width x Height),Position,Hoarding Type,Illumination,Latitude,Longitude,Ownership,Sq. Ft.,Landlord
MENG-AH-S,Mehsana,Nagalpur,Nr. Maruti Starline Showroom,Mehsana to Ahmedabad,77 x 10,Solo,Gantry,NL,23.581427,72.370017,GOV - R & B Mehsana,770,R & B Mehsana
MEMC-BN-S,Mehsana,Modhera Circle,"Nr. Joyos Hubtown, Nr. Modhera Circle,  ST Workshop Road",Modhera Circle to Bhamariya Nala,70 x 10,Solo,Gantry,NL,23.594335,72.38093,GOV - MMC,700,MMC
MEBN-MC-S,Mehsana,Bhamariya Nala,"BK Cinema, ST Workshop Road",Bhamariya Nala to Modhera circle,50 X 10,Solo,Gantry,NL,23.595229,72.385683,GOV - MMC,500,
MEBN-BN-S,Mehsana,Bhamariya Nala,"Apna Bazar, Nr. Bhamariya Nala",Modhera Circle to Bhamariya Nala,67 x 10,Solo,Gantry,NL,23.59573,72.387532,GOV - MMC,670,
MEGN-FV-S,Mehsana,Gopi Nala,"MG Shoping Center, Nr. Ganpati Temple, Fuvara, Rajmahel Road",Bus Stand to Fuvara,55 x 10,Solo,Gantry,NL,23.604455,72.390394,GOV - MMC,550,
METC-TC-S,Mehsana,Toranwali Chowk,"Ranjan no Dhal, Nr. Nagarpalika Office, Main Bazar",Arvind Baug to Toranwali Mata Chowk,50 x 10,Solo,Gantry,NL,23.603211,72.391711,GOV - MMC,500,
MERC-GN-S,Mehsana,Radhanpur Circle,Nr. Radhanpur Circle,Radhanpur Circle to Gopi Nala,40 x 10,Solo,Gantry,NL,23.606333,72.381942,GOV - MMC,400,
BEMP-VG-S,Bechraji,Maruti Plant,"Nr. Maruti Plant, Hansalpur Circle, On Becharaji to Viramgam Highway",Bechraji to Viramgam,70 x 10,Solo,Gantry,NL,23.487564,72.017006,GOV - R & B Viramgam,700,R & B Viramgam
BEMP-BE-S,Bechraji,Maruti Plant,"Bechraji Entrance, Viramgam Bechraji Highway",Viramgam to Bechraji,70 x 10,Solo,Gantry,NL,23.4921185,72.0291664,GOV - R & B Viramgam,700,
HIMO-BS-S,Himmatnagar,Motipura Circle,Motipura Circle,Motipura Circle to Bus Stand,86 x 10,Solo,Gantry,NL,23.58239962,72.95844305,GOV - R & B Himmatnagar,860,R & B Himmatnagar
HIMO-MO-S,Himmatnagar,Motipura Circle,Motipura Circle,Bus Stand to Motipura,86 x 10,Solo,Gantry,NL,23.58239962,72.95844305,GOV - R & B Himmatnagar,860,
HIMO-BS-SA,Himmatnagar,Motipura Circle,"Umashankar Joshi Bridge, Nr. Motipura Circle",Motipura Circle to Bus Stand,50 x 10,Solo,Gantry,NL,23.585027,72.95788,GOV - R & B Himmatnagar,500,
