Hoarding Code,City,(Area/Zone),Location / Landmark,Facing Direction,Size (Width x Height),Position,Hoarding Type,Illumination,Latitude,Longitude,Ownership,Sq. Ft.,Landlord
MEAH-AH-D,Mehsana,Ahmedabad Mehsana Highway,Nr. Nirma Factory,Mehsana to Ahmedabad,40 x 20,Lower,Hoarding,NL,23.436237,72.394231,Private,800,Zam Zam Hotel
MESW-SW-L,Mehsana,Shanku's Water Park,Opp. Water Park / Divine International School / SMC Medicity Hospital,Opp Shankus Water Park,20 x 20,LHS,Hoarding,NL,23.473661,72.393336,Private,400,Hasmukh Patel
MESW-SW-R,Mehsana,Shanku's Water Park,Opp. Water Park / Divine International School / SMC Medicity Hospital,Opp Shankus Water Park,20 x 20,RHS,Hoarding,NL,23.473661,72.393336,Private,400,Hasmukh Patel
MESA-SA-U,Mehsana,Saffrony Collage,Opp. Saffrony Collage / Tapovan International School,Opp Saffrony Collage,20 x 10,Upper,Hoarding,NL,23.484428,72.395673,Private,200,Piyush Patel
MESA-SA-D,Mehsana,Saffrony Collage,Opp. Saffrony Collage / Tapovan International School,Opp Saffrony Collage,20 x 10,Lower,Hoarding,NL,23.484428,72.395673,Private,200,Piyush Patel
MEMT-ME-U,Mehsana,Mevad Toll Plaza,Tollplaza Mehsana,Ahmedabad to Mehsana,30 x 15,Upper,Hoarding,NL,23.5279589,72.3875136,Private,450,Bhavin Chaudhary Toll Plaza
MEMT-ME-D,Mehsana,Mevad Toll Plaza,Tollplaza Mehsana,Ahmedabad to Mehsana,30 x 15,Lower,Hoarding,NL,23.5279589,72.3875136,Private,450,Bhavin Chaudhary Toll Plaza
MESH-AH-LU,Mehsana,Shivala Circle,Shivala Circle,Mehsana to Ahmedabad,20 x 10,LHS Upper,Hoarding,NL,23.5439075,72.3807785,GOV - MMC,200,MMC
MESH-AH-LD,Mehsana,Shivala Circle,Shivala Circle,Mehsana to Ahmedabad,20 x 10,LHS Lower,Hoarding,NL,23.5439075,72.3807785,GOV - MMC,200,MMC
MESH-AH-S,Mehsana,Shivala Circle,Shivala Circle,Mehsana to Ahmedabad,20 x 15,Solo,Hoarding,NL,23.5449535,72.3803614,GOV - MMC,300,MMC
MESH-BP-S,Mehsana,Shivala Circle,Shivala Circle,Mehsana Bypass to ,20 x 15,Solo,Hoarding,NL,23.5444297,72.3805968,GOV - MMC,300,MMC
MESH-ME-U,Mehsana,Shivala Circle,Shivala Circle,Ahmedabad to Mehsana,20 x 10,Upper,Hoarding,NL,23.5448911,72.3798411,GOV - MMC,200,MMC
MESH-ME-D,Mehsana,Shivala Circle,Shivala Circle,Ahmedabad to Mehsana,20 x 10,Lower,Hoarding,NL,23.5448911,72.3798411,GOV - MMC,200,MMC
